t,x,y,yaw,vx,vy,omega
0.0,-0.32,0.0,0.0,0.0,0.0,0.0
0.05,-0.32,0.0,0.0,0.0012034749233354757,0.0007827911261156411,9.151461104205114e-19
0.1,-0.3198,0.0001,0.0,0.004039083858178157,0.002623820603726834,9.070997409103667e-19
0.15000000000000002,-0.3195,0.0003,0.0,0.008099803874896165,0.00524868801311175,8.991241186410794e-19
0.2,-0.319,0.0007,0.0,0.013079791719386315,0.00844422406952435,8.912186215716058e-19
0.25,-0.3181,0.0012,0.0,0.018749234742589625,0.012044389191299663,8.833826331301623e-19
0.3,-0.317,0.0019,0.0,0.024935446835467882,0.01592004035412873,8.75615542166137e-19
0.35,-0.3156,0.0028,0.0,0.03150872844456029,0.019970523034789474,8.679167429024248e-19
0.39999999999999997,-0.3138,0.004,0.0,0.03837160851374103,0.024117081538143736,8.602856348881807e-19
0.44999999999999996,-0.3117,0.0053,0.0,0.04545081624051453,0.02829750519519316,8.527216229519894e-19
0.49999999999999994,-0.3092,0.0068,0.0,0.052691295421006666,0.03246320625215116,8.452241171554458e-19
0.5499999999999999,-0.3063,0.0086,0.0,0.06005167664016537,0.036576317095979506,2.467594791929276e-18
0.6,-0.3031,0.0105,0.0,0.06750087499223859,0.04060647898634217,2.4458986067288077e-18
0.65,-0.2995,0.0127,0.0,0.07501553355063746,0.04452993455183158,2.4243931839881208e-18
0.7000000000000001,-0.2955,0.015,0.0,0.082578102332,0.04832765754208844,2.403076846439266e-18
0.7500000000000001,-0.2912,0.0175,0.0,0.09017539479802014,0.051984733581385285,2.381947931561577e-18
0.8000000000000002,-0.2864,0.0202,0.0,0.09779750322072954,0.055489562607712595,2.3610047914520016e-18
0.8500000000000002,-0.2813,0.0231,0.0,0.10543698358250844,0.05883280836362293,2.3402457926965835e-18
0.9000000000000002,-0.2758,0.0262,0.0,0.11308824314331775,0.06200690669167412,2.3196693162430627e-18
0.9500000000000003,-0.2699,0.0294,0.0,0.12074708026299238,0.06500568244526105,2.2992737572746047e-18
1.0000000000000002,-0.2637,0.0327,0.0,0.12841033859684992,0.06782457282091417,-9.8054699327963e-19
1.0500000000000003,-0.257,0.0362,0.0,0.13607564725964597,0.07046057830097502,-9.719255902707008e-19
1.1000000000000003,-0.25,0.0398,0.0,0.14374122556665866,0.07291137678075532,-9.633799904515746e-19
1.1500000000000004,-0.2426,0.0435,0.0,0.1514057363276002,0.0751753789896573,-9.549095273270674e-19
1.2000000000000004,-0.2347,0.0473,0.0,0.15906817559976938,0.07725187510285403,-9.465135402621158e-19
1.2500000000000004,-0.2266,0.0512,0.0,0.16672778984240577,0.0791408230239894,-9.381913744302523e-19
1.3000000000000005,-0.218,0.0552,0.0,0.17438401373738788,0.08084268410999734,-9.299423807625333e-19
1.3500000000000005,-0.2091,0.0593,0.0,0.18203642332283781,0.08235829581190522,-9.217659158969166e-19
1.4000000000000006,-0.1997,0.0635,0.0,0.18968470083648895,0.08368877303677699,-9.136613421280836e-19
1.4500000000000006,-0.19,0.0677,0.0,0.19732860834349336,0.08483543185190774,-9.05628027357703e-19
1.5000000000000007,-0.1799,0.072,0.0,0.2049679679004957,0.08580025242495551,-8.97665345045132e-19
1.5500000000000007,-0.1694,0.0763,0.0,0.2126026466407021,0.08658549538877477,-8.8977267415855e-19
1.6000000000000008,-0.1586,0.0806,0.0,0.22023254556585828,0.08719382257832983,-8.81949399126523e-19
1.6500000000000008,-0.1473,0.085,0.0,0.22785759121534996,0.0876284952121437,-8.741949097899936e-19
